answer	qid
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-13
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-14
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-15
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-16
A Lion watched a fat Bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .	fables-02-17
The Bull was foolish enough to be persuaded by this flattery to have his horns cut off ; and , having now lost his only means of defense , fell an easy prey to the Lion .	fables-02-18
Today was the start of the G20 summit .	blogs-01-1
Today was the start of the G20 summit .	blogs-01-2
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot .	blogs-01-3
Since there are so many leaders coming together their are going to be a lot of people who have different views on how to run the government they follow so they protest .	blogs-01-4
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot .	blogs-01-5
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot .	blogs-01-6
It happens every year and it is where 20 of the leaders of the world come together to talk about how to run their governments effectively and what not .	blogs-01-7
Police cars were burned and things were thrown at cops .	blogs-01-8
Police cars were burned and things were thrown at cops .	blogs-01-9
It happens every year and it is where 20 of the leaders of the world come together to talk about how to run their governments effectively and what not .	blogs-01-10
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores .	blogs-01-11
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores .	blogs-01-12
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores .	blogs-01-13
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot .	blogs-01-14
As things got worse tear gas and bean bag bullets were fired at the rioters while they smash windows of stores .	blogs-01-15
Since there are so many leaders coming together their are going to be a lot of people who have different views on how to run the government they follow so they protest .	blogs-01-16
There was a protest that happened along the street where I work and at first it looked peaceful until a bunch of people started rebelling and creating a riot .	blogs-01-17
Police were in full riot gear to alleviate the violence .	blogs-01-18
A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .	fables-04-1
A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .	fables-04-2
A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .	fables-04-3
A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .	fables-04-4
A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .	fables-04-5
Thus , while she enjoyed her dinner , the Fox sat by hungry and helpless , for it was impossible for him to reach the tempting contents of the vessel .	fables-04-6
But not long after the Stork invited him in turn , and set before him a pitcher with a long and narrow neck , into which she could get her bill with ease .	fables-04-7
Thus , while she enjoyed her dinner , the Fox sat by hungry and helpless , for it was impossible for him to reach the tempting contents of the vessel .	fables-04-8
A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .	fables-04-9
The Fox lapped it up with great relish , but the Stork with her long bill tried in vain to partake of the savoury broth .	fables-04-10
A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .	fables-04-11
A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .	fables-04-12
A Fox invited a Stork to dinner , at which the only fare provided was a large flat dish of soup .	fables-04-13
A few years ago , a young man died out on my front lawn when he crashed his motorbike .	blogs-02-1
A few years ago , a young man died out on my front lawn when he crashed his motorbike .	blogs-02-2
Later , when I was visiting the place where he died , I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him .	blogs-02-3
Later , when I was visiting the place where he died , I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him .	blogs-02-4
I was with him in his last moments but there was nothing I could do because he was badly injured with a broken neck .	blogs-02-5
I was with him in his last moments but there was nothing I could do because he was badly injured with a broken neck .	blogs-02-6
At first , my logical mind thought that it was my brother playing around with his new flashlight ( not at all like it , but the closest thing I could imagine ) And when I went inside the house , everyone was snoring !	blogs-02-7
A few years ago , a young man died out on my front lawn when he crashed his motorbike .	blogs-02-8
A few years ago , a young man died out on my front lawn when he crashed his motorbike .	blogs-02-9
Later , when I was visiting the place where he died , I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him .	blogs-02-10
Later , when I was visiting the place where he died , I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him .	blogs-02-11
And I know this sounds crazy , but I saw this ball of light in the trees above me .	blogs-02-12
A few years ago , a young man died out on my front lawn when he crashed his motorbike .	blogs-02-13
A few years ago , a young man died out on my front lawn when he crashed his motorbike .	blogs-02-14
A few years ago , a young man died out on my front lawn when he crashed his motorbike .	blogs-02-15
Later , when I was visiting the place where he died , I decided to talk to him as if he were still there because I wanted him to know how bad I felt that I couldnt help him .	blogs-02-16
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he 's playing outside .	blogs-04-1
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he 's playing outside .	blogs-04-2
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he 's playing outside .	blogs-04-3
Throughout the day , many birds drink out of it and bathe in it .	blogs-04-4
Squirrels also come to drink out of it .	blogs-04-5
But not quite , I saw his one little paw hanging on !	blogs-04-6
This is one of those times I wish I had a digital camera .	blogs-04-7
Throughout the day , many birds drink out of it and bathe in it .	blogs-04-8
on the railing	blogs-04-9
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he 's playing outside .	blogs-04-10
The craziest squirrel just came by- he was literally jumping in fright at what I believe was his own reflection in the bowl .	blogs-04-11
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he 's playing outside .	blogs-04-12
Throughout the day , many birds drink out of it and bathe in it .	blogs-04-13
We keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he 's playing outside .	blogs-04-14
Heated with his exertions , the man was about to slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground .	fables-03-1
An Eagle	fables-03-2
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it .	fables-03-3
A countryman , who was a witness of the encounter , came to the assistance of the Eagle , and succeeded in freeing him from the Serpent and enabling him to escape .	fables-03-4
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it .	fables-03-5
In revenge the Serpent spat some of his poison into the man 's drinking-horn .	fables-03-6
A countryman , who was a witness of the encounter , came to the assistance of the Eagle , and succeeded in freeing him from the Serpent and enabling him to escape .	fables-03-7
Heated with his exertions , the man was about to slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground .	fables-03-8
Heated with his exertions , the man was about to slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground .	fables-03-9
Heated with his exertions , the man was about to slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground .	fables-03-10
But the Serpent was too quick for him and had its coils round him in a moment ; and then there ensued a life-and-death struggle between the two .	fables-03-11
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it .	fables-03-12
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it .	fables-03-13
But the Serpent was too quick for him and had its coils round him in a moment ; and then there ensued a life-and-death struggle between the two .	fables-03-14
A countryman , who was a witness of the encounter , came to the assistance of the Eagle , and succeeded in freeing him from the Serpent and enabling him to escape .	fables-03-15
A countryman , who was a witness of the encounter , came to the assistance of the Eagle , and succeeded in freeing him from the Serpent and enabling him to escape .	fables-03-16
A countryman , who was a witness of the encounter , came to the assistance of the Eagle , and succeeded in freeing him from the Serpent and enabling him to escape .	fables-03-17
A countryman , who was a witness of the encounter , came to the assistance of the Eagle , and succeeded in freeing him from the Serpent and enabling him to escape .	fables-03-18
A countryman , who was a witness of the encounter , came to the assistance of the Eagle , and succeeded in freeing him from the Serpent and enabling him to escape .	fables-03-19
In revenge the Serpent spat some of his poison into the man 's drinking-horn .	fables-03-20
Heated with his exertions , the man was about to slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground .	fables-03-21
She went to Miami to visit some friends .	mc500.train.0.1
Ellen ordered a salad .	mc500.train.0.2
Kristin had soup .	mc500.train.0.3
She traveled from Atlanta .	mc500.train.0.4
Alyssa was happy to spend time with her friends again .	mc500.train.0.5
They stayed the night because they were tired .	mc500.train.0.6
The girls	mc500.train.0.7
she	mc500.train.0.8
Alyssa enjoyed the restaurant 's special .	mc500.train.0.9
After eating , the ladies went back to Ellen 's house to have fun .	mc500.train.0.10
The girls went to a restaurant for dinner .	mc500.train.0.11
at Ellen 's house	mc500.train.0.12
Ellen greeted Alyssa and they both had some lemonade to drink .	mc500.train.0.13
Alyssa got to the beach after a long trip .	mc500.train.0.14
Alyssa called her friends Kristin and Rachel to meet at Ellen 's house .	mc500.train.0.15
After going swimming and laying out , she went to her friend Ellen 's house .	mc500.train.0.16
It was Saturday afternoon and Andrew was bored .	mc500.train.23.1
He had been watching TV all day .	mc500.train.23.2
Andrew looked outside the window and saw the newspaper by the door .	mc500.train.23.3
Andrew looked outside the window and saw the newspaper by the door .	mc500.train.23.4
On the front	mc500.train.23.5
He had been watching TV all day .	mc500.train.23.6
Andrew and his dad read the story .	mc500.train.23.7
Andrew had never been to the circus .	mc500.train.23.8
Andrew had never been to the circus .	mc500.train.23.9
`` Yes , we can , ' Andrew 's dad said , 'but first you need to feed your goldfish . ''	mc500.train.23.10
The people and animals at the circus	mc500.train.23.11
Andrew and his dad read the story .	mc500.train.23.12
Andrew and his dad had a lot of fun at the circus .	mc500.train.23.13
Andrew and his dad went to the circus .	mc500.train.23.14
The elephant even went down a slide !	mc500.train.23.15
Andrew 's dad said , `` I think the newspaper is here .	mc500.train.23.16
Andrew 's dad said , `` I think the newspaper is here .	mc500.train.23.17
The elephant	mc500.train.23.18
The people and animals at the circus did lots of tricks .	mc500.train.23.19
He told his dad , `` There 's nothing to do ! ''	mc500.train.23.20
Andrew and his dad went to the circus .	mc500.train.23.21
He promised to bring it some peanuts from the circus for later .	mc500.train.23.22
Kelly woke up one morning and went outside to her back yard .	mc500.train.18.1
Kelly woke up one morning and went outside to her back yard .	mc500.train.18.2
Kelly woke up one morning and went outside to her back yard .	mc500.train.18.3
She was going to give her mom the biggest , most beautiful bunch of flowers her mother had ever seen .	mc500.train.18.4
Kelly woke up one morning and went outside to her back yard .	mc500.train.18.5
After Kelly collected all of the flowers , she went inside and tied them together with string .	mc500.train.18.6
She knew where the best flowers were in her yard .	mc500.train.18.7
After Kelly collected all of the flowers , she went inside and tied them together with string .	mc500.train.18.8
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present .	mc500.train.18.9
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present .	mc500.train.18.10
Finally , her mother woke up at 8:30 AM , and Kelly was excited !	mc500.train.18.11
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present .	mc500.train.18.12
The red ones were big , the orange ones were small , and the green ones were in the middle .	mc500.train.18.13
Kelly was worried , so she hid them in a new spot that was up higher .	mc500.train.18.14
Her mother 's favorite was the red one .	mc500.train.18.15
Finally , her mother woke up at 8:30 AM , and Kelly was excited !	mc500.train.18.16
After Kelly collected all of the flowers , she went inside and tied them together with string .	mc500.train.18.17
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present .	mc500.train.18.18
She hoped her baby sister Morgan , who was still in diapers , would n't find the flowers and eat them .	mc500.train.18.19
After that , she had to hide the flowers in a secret spot .	mc500.train.18.20
She was in a hurry because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her as a present .	mc500.train.18.21
